                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1593,                 3.2125,                 1.6808,                 0.0063,                0.44737,                0.13845,                0.06206,                 1.8377,                 3.5007,                 1.4344,                0.00022,                0.00022,                0.00022
                      2,                 2.1065,                 2.4883,                 1.7108,                0.00827,                0.58772,                0.14688,                0.07026,                 1.9443,                 3.3918,                  1.491,             0.00045909,             0.00045909,             0.00045909
                      3,                 1.9827,                 2.1498,                 1.5796,                 0.0079,                 0.5614,                0.09072,                0.03759,                 2.0941,                 3.3141,                 1.5738,             0.00069723,             0.00069723,             0.00069723
                      4,                   1.97,                 2.1827,                 1.6119,                0.43219,                0.07018,                0.08474,                0.02655,                 2.2311,                  3.353,                 1.6961,             0.00093442,             0.00093442,             0.00093442
                      5,                 1.9375,                 2.0772,                 1.5813,                0.18289,                0.12281,                 0.0943,                0.03718,                 2.3578,                  3.149,                 1.7804,              0.0011707,              0.0011707,              0.0011707
                      6,                 1.9915,                 2.0359,                 1.6301,                0.34588,                0.28296,                0.19083,                0.04795,                 2.4288,                 3.0075,                 1.7759,              0.0014059,              0.0014059,              0.0014059
                      7,                 1.9885,                 2.0183,                 1.6547,                0.12046,                 0.2193,                0.06643,                0.02143,                 2.5134,                 3.5714,                 2.0221,              0.0016403,              0.0016403,              0.0016403
                      8,                  2.049,                 2.0679,                 1.6853,                0.18169,                0.23684,                0.10416,                0.03411,                 2.4538,                 3.1355,                  1.945,              0.0018737,              0.0018737,              0.0018737
                      9,                 1.9956,                 2.1488,                 1.6574,                 0.1291,                0.24561,                0.06765,                 0.0206,                 2.4458,                 3.2387,                 1.9222,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.0221,                 1.9295,                 1.6786,                0.17645,                0.12281,                0.06596,                0.01842,                 2.5294,                 3.0976,                 1.9471,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.9394,                 1.9442,                  1.659,                0.24949,                0.08772,                0.04433,                0.01479,                 2.6374,                 3.8663,                 2.0951,              0.0019604,              0.0019604,              0.0019604
                     12,                  2.116,                 1.8958,                 1.7157,                0.28302,                0.10526,                0.07095,                0.01851,                 2.8403,                 3.7523,                 2.4684,              0.0019564,              0.0019564,              0.0019564
                     13,                 2.0328,                 1.8147,                 1.5864,                0.19548,                0.19298,                0.09436,                0.02452,                 2.7203,                 3.6784,                 2.4331,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.9407,                 1.7987,                 1.6027,                0.25949,                0.31579,                0.19807,                0.06501,                 2.5495,                 3.3899,                 2.0924,              0.0019485,              0.0019485,              0.0019485
                     15,                 1.9535,                 1.7272,                 1.6428,                0.42961,                0.21053,                0.25061,                0.07838,                 2.2845,                 3.5326,                 1.7877,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.9988,                 1.7199,                 1.6098,                0.11254,                0.18421,                0.06026,                0.02036,                 2.4788,                   4.98,                 1.9629,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.9882,                  1.834,                 1.6293,                0.23818,                0.16667,                0.12245,                0.04073,                 2.5597,                 4.0281,                 2.1439,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.9116,                 1.6494,                 1.5485,                0.26572,                0.21053,                0.12516,                0.04392,                  2.363,                 3.6575,                 1.8356,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.9566,                 1.7312,                 1.6367,                0.27824,                0.19275,                 0.1392,                0.04795,                 2.5354,                 3.2194,                 2.0386,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.9225,                 1.8873,                 1.6565,                0.36773,                0.14912,                0.14979,                0.04733,                 2.4961,                  3.676,                   2.06,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.8892,                 1.5924,                 1.5528,                0.31799,                0.17544,                0.16328,                0.04814,                 2.6263,                 2.9419,                  2.105,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.8894,                 1.6028,                   1.56,                0.15966,                0.31579,                 0.1461,                0.04963,                 2.4111,                 2.5196,                 1.9395,              0.0019168,              0.0019168,              0.0019168
                     23,                 2.0822,                 1.7316,                 1.6792,                0.36445,                0.18421,                0.18822,                0.05527,                 2.4817,                 2.5344,                 1.8801,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.9538,                 1.6219,                 1.5751,                0.20282,                0.22807,                0.13352,                0.04692,                  2.611,                 2.7187,                 2.0503,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.8596,                 1.5699,                 1.5312,                0.31979,                0.32456,                0.24274,                0.07551,                 2.5568,                 2.3816,                 1.9401,               0.001905,               0.001905,               0.001905
                     26,                  1.853,                 1.5729,                 1.5811,                0.36035,                0.24217,                0.23954,                0.07564,                 2.5082,                 2.3072,                 1.8948,               0.001901,               0.001901,               0.001901
                     27,                 1.8007,                 1.4645,                 1.4656,                0.28354,                0.33333,                 0.2637,                 0.1168,                  2.204,                 2.2059,                 1.7404,               0.001897,               0.001897,               0.001897
                     28,                 1.8811,                 1.5464,                 1.5351,                  0.311,                0.24561,                0.19323,                0.05809,                 2.5462,                 2.3929,                 1.9354,              0.0018931,              0.0018931,              0.0018931
                     29,                 1.9027,                 1.5249,                  1.513,                0.62537,                0.23684,                0.28814,                0.10794,                 2.4152,                 2.4339,                 1.8117,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.8731,                 1.6903,                  1.616,                0.45106,                0.25439,                  0.262,                0.10299,                 2.2956,                 2.2148,                  1.716,              0.0018852,              0.0018852,              0.0018852
                     31,                 1.9061,                 1.5224,                 1.5551,                0.38608,                0.38065,                0.26662,                0.09326,                 2.3771,                 2.1909,                 1.8262,              0.0018812,              0.0018812,              0.0018812
                     32,                 1.8098,                 1.4303,                 1.4565,                0.28233,                0.34211,                0.20621,                0.05862,                 2.4696,                 2.3837,                 1.9015,              0.0018772,              0.0018772,              0.0018772
                     33,                 1.7212,                 1.4241,                  1.419,                0.28536,                0.35965,                0.21092,                0.06671,                  2.509,                 2.3332,                 1.9347,              0.0018733,              0.0018733,              0.0018733
                     34,                 1.8165,                 1.4414,                 1.5008,                0.30565,                0.30702,                0.23485,                0.08191,                 2.4674,                 2.2163,                 1.9411,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.8279,                 1.3796,                 1.4894,                0.35802,                0.28947,                0.22918,                0.08133,                 2.5156,                 2.2144,                 1.9765,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.8097,                  1.389,                 1.5102,                0.31065,                0.20175,                0.18887,                0.06747,                 2.6662,                 2.3506,                  2.039,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.8377,                 1.4513,                 1.4366,                0.33435,                0.31579,                0.23455,                0.09162,                 2.4642,                  2.128,                 1.9241,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.8043,                  1.325,                 1.5002,                0.24419,                0.30326,                0.19464,                0.06366,                 2.6893,                 2.4279,                 2.0769,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.7363,                 1.3984,                 1.4287,                0.31289,                0.35965,                0.27062,                 0.1155,                 2.3548,                 2.2456,                 1.9289,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.6871,                 1.4478,                  1.449,                 0.2583,                0.34211,                0.19685,                0.05819,                 2.4824,                 2.8223,                 1.9577,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.7941,                 1.6199,                 1.5407,                0.30875,                0.20175,                0.17346,                0.06876,                 2.4156,                 2.7313,                 1.9353,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.7508,                 1.5063,                 1.4548,                0.25035,                0.17544,                 0.1207,                0.04731,                 2.5315,                 3.1612,                 2.1933,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.8047,                 1.4294,                 1.4423,                0.28022,                0.24561,                0.15728,                0.05275,                 2.5587,                 2.9281,                 2.0729,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.6219,                 1.2596,                 1.3729,                0.28741,                0.27193,                0.18585,                0.06477,                 2.5587,                  2.543,                 1.9865,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.8345,                 1.4023,                 1.5004,                0.37155,                0.28947,                0.21359,                0.08456,                  2.384,                 2.3931,                 1.8567,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.7319,                 1.4214,                 1.4795,                  0.317,                0.33333,                0.25663,                0.11061,                 2.2491,                 2.1874,                 1.7382,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.6952,                  1.314,                  1.448,                 0.3535,                 0.2807,                0.26662,                0.10864,                 2.3097,                 2.0892,                 1.7456,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.7108,                 1.3234,                 1.4437,                0.29184,                0.42982,                0.27227,                0.10626,                 2.4287,                 1.9905,                 1.7851,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.7077,                  1.239,                 1.3677,                0.30881,                0.41228,                0.27529,                0.09939,                 2.4775,                 2.1931,                 1.8481,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.6363,                 1.2651,                 1.3796,                0.46936,                 0.2193,                0.24388,                0.09233,                 2.3915,                 2.5163,                 1.7974,               0.001806,               0.001806,               0.001806
                     51,                 1.6629,                 1.2569,                 1.3642,                0.51386,                0.25439,                0.23092,                0.09044,                 2.5173,                 2.4163,                 1.9174,               0.001802,               0.001802,               0.001802
                     52,                 1.6117,                 1.1726,                 1.3667,                 0.3061,                0.31579,                0.21504,                0.08242,                 2.5537,                 2.3277,                 1.9389,               0.001798,               0.001798,               0.001798
                     53,                 1.6671,                 1.1497,                 1.3744,                0.30004,                0.33333,                0.24764,                0.09429,                 2.5351,                 2.2859,                 1.9476,              0.0017941,              0.0017941,              0.0017941
                     54,                  1.642,                 1.1491,                 1.3808,                0.37605,                0.24561,                0.18033,                0.07502,                  2.574,                 2.5189,                  1.971,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.7666,                   1.39,                  1.524,                0.35847,                0.29825,                0.20598,                 0.0673,                 2.5602,                 2.3955,                 1.9815,              0.0017862,              0.0017862,              0.0017862
                     56,                   1.63,                 1.1654,                   1.41,                0.33241,                0.23684,                 0.1734,                0.05869,                 2.6699,                 2.3623,                 2.1692,              0.0017822,              0.0017822,              0.0017822
                     57,                 1.6199,                 1.1744,                 1.3593,                0.33891,                0.35965,                0.27107,                0.09407,                 2.5707,                 2.2516,                  2.012,              0.0017782,              0.0017782,              0.0017782
                     58,                 1.7403,                 1.6049,                 1.5114,                0.44725,                0.26316,                0.25265,                0.08078,                 2.6576,                 2.2631,                 2.0403,              0.0017743,              0.0017743,              0.0017743
                     59,                 1.7321,                 1.1654,                 1.4091,                0.44693,                0.33333,                0.31271,                0.11002,                 2.4492,                 2.2447,                 1.8769,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.6871,                 1.1942,                 1.3987,                0.34087,                0.25439,                0.21109,                0.06772,                 2.6156,                 2.5242,                  2.001,              0.0017664,              0.0017664,              0.0017664
                     61,                 1.6708,                 1.3352,                 1.4408,                0.38102,                0.27193,                0.22091,                 0.0749,                 2.6046,                 2.3213,                 2.0764,              0.0017624,              0.0017624,              0.0017624
                     62,                 1.5702,                 1.1188,                 1.3805,                0.43264,                0.24561,                0.21759,                 0.0726,                 2.7087,                 2.4035,                 2.1351,              0.0017584,              0.0017584,              0.0017584
                     63,                 1.5369,                 1.6977,                 1.2696,                 0.3702,                0.34211,                 0.2505,                0.08328,                 2.6116,                 2.3056,                  2.042,              0.0017545,              0.0017545,              0.0017545
                     64,                 1.6078,                 1.1782,                 1.3497,                0.35882,                0.24561,                0.16864,                0.06162,                 2.7718,                 2.4651,                 2.1919,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.6493,                 1.1357,                 1.4237,                0.38826,                0.30702,                0.24937,                0.09445,                 2.5737,                  2.193,                 1.9581,              0.0017466,              0.0017466,              0.0017466
                     66,                 1.5685,                 1.0791,                 1.3277,                0.31039,                0.31579,                0.21449,                0.06539,                 2.7022,                 2.4135,                 2.0817,              0.0017426,              0.0017426,              0.0017426
                     67,                 1.5845,                 1.1124,                 1.3407,                0.31994,                0.40351,                0.21098,                0.06472,                 2.5962,                 2.3274,                 1.9751,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.5544,                 1.1188,                 1.3365,                0.31091,                0.35965,                0.22319,                0.08153,                 2.5735,                 2.3685,                  2.058,              0.0017347,              0.0017347,              0.0017347
                     69,                 1.5973,                 1.1071,                 1.3455,                0.37402,                0.27193,                0.21773,                0.06882,                 2.6838,                 2.5782,                 2.1408,              0.0017307,              0.0017307,              0.0017307
                     70,                 1.5741,                 1.0724,                 1.3943,                0.36283,                0.28947,                0.24429,                0.08417,                 2.6442,                 2.3226,                 2.0887,              0.0017268,              0.0017268,              0.0017268
                     71,                 1.5579,                 1.0897,                 1.2916,                0.33155,                0.36842,                0.25202,                0.08799,                 2.6548,                 2.2764,                 2.0254,              0.0017228,              0.0017228,              0.0017228
                     72,                 1.6454,                 1.0961,                 1.4012,                 0.4032,                0.30702,                0.26141,                0.08505,                 2.5848,                 2.2394,                 1.9705,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.5965,                 1.2036,                 1.4141,                0.36966,                 0.4386,                0.34988,                0.13201,                 2.3497,                 2.1339,                 1.8547,              0.0017149,              0.0017149,              0.0017149
                     74,                 1.6931,                 1.1539,                 1.4814,                0.35321,                0.36842,                0.24452,                0.07148,                 2.6239,                 2.3514,                 2.0015,              0.0017109,              0.0017109,              0.0017109
                     75,                 1.5689,                  1.112,                 1.3462,                0.35048,                0.44737,                0.28456,                 0.1154,                 2.3936,                 2.1622,                 1.8558,               0.001707,               0.001707,               0.001707
                     76,                 1.5622,                 1.0447,                 1.3553,                0.29927,                0.33333,                0.22257,                0.06486,                 2.6024,                 2.6077,                 2.0018,               0.001703,               0.001703,               0.001703
                     77,                 1.5515,                  1.098,                 1.3423,                0.43416,                0.30963,                0.29815,                0.11805,                 2.2454,                 2.1473,                  1.748,               0.001699,               0.001699,               0.001699
                     78,                 1.4775,                 1.0377,                 1.2901,                  0.465,                0.23684,                0.23659,                0.09035,                  2.481,                 2.3938,                 1.9726,              0.0016951,              0.0016951,              0.0016951
                     79,                 1.6179,                  1.209,                 1.4047,                 0.4686,                0.28947,                0.30977,                0.11737,                 2.3801,                 2.1245,                 1.8842,              0.0016911,              0.0016911,              0.0016911
                     80,                 1.5273,                 1.0624,                 1.3217,                 0.3907,                0.40351,                0.30762,                0.12174,                 2.3479,                 2.1025,                 1.8243,              0.0016872,              0.0016872,              0.0016872
                     81,                  1.574,                 1.1085,                 1.3259,                0.42931,                0.31579,                0.29382,                 0.1005,                 2.3821,                 2.1335,                 1.8891,              0.0016832,              0.0016832,              0.0016832
                     82,                 1.5621,                 1.2156,                 1.3434,                0.29219,                0.34211,                0.24346,                 0.0842,                  2.397,                 2.4227,                 1.8537,              0.0016792,              0.0016792,              0.0016792
                     83,                 1.5288,                 1.0545,                 1.3076,                0.26722,                0.24561,                0.20161,                 0.0698,                 2.6659,                 2.4025,                 2.0218,              0.0016753,              0.0016753,              0.0016753
                     84,                 1.6989,                 1.1985,                 1.4884,                 0.4255,                0.22807,                0.21929,                0.08729,                 2.3932,                 2.2698,                 1.8763,              0.0016713,              0.0016713,              0.0016713
                     85,                 1.5146,                 1.0045,                 1.3154,                0.49052,                0.23648,                0.22802,                0.06823,                 2.7088,                 2.3659,                 2.0511,              0.0016674,              0.0016674,              0.0016674
                     86,                  1.544,                 1.0482,                 1.3072,                0.42289,                0.30702,                0.25813,                0.09382,                 2.4363,                 2.1044,                 1.9059,              0.0016634,              0.0016634,              0.0016634
                     87,                 1.5374,                 1.0224,                  1.286,                0.46822,                0.28947,                0.26067,                0.08739,                 2.5637,                 2.3077,                 2.0251,              0.0016594,              0.0016594,              0.0016594
                     88,                 1.8223,                 1.5539,                 1.7619,                0.36205,                0.31579,                0.25484,                0.08111,                 2.6024,                 2.4299,                 2.0599,              0.0016555,              0.0016555,              0.0016555
                     89,                 1.4923,                 1.0135,                 1.2834,                0.35225,                0.28947,                0.21927,                0.07941,                 2.6765,                 2.2214,                 2.0871,              0.0016515,              0.0016515,              0.0016515
                     90,                  1.476,                0.92841,                 1.2632,                0.41768,                0.32456,                0.29883,                0.10322,                 2.5156,                  2.003,                 2.0049,              0.0016476,              0.0016476,              0.0016476
                     91,                 1.6819,                 1.2847,                 1.4669,                0.35126,                0.33333,                0.25863,                0.09548,                 2.6462,                 2.1635,                 2.1355,              0.0016436,              0.0016436,              0.0016436
                     92,                 1.4215,                0.97615,                 1.2618,                0.50802,                0.28947,                0.27739,                0.09568,                 2.5103,                 2.1557,                  2.014,              0.0016396,              0.0016396,              0.0016396
                     93,                 1.4683,                0.98686,                 1.2363,                0.39753,                0.24561,                 0.2024,                0.06975,                 2.5896,                 2.2615,                 2.0509,              0.0016357,              0.0016357,              0.0016357
                     94,                 1.5296,                 1.0468,                 1.3071,                0.18469,                0.25439,                0.16739,                0.05988,                 2.8189,                 2.6913,                 2.2087,              0.0016317,              0.0016317,              0.0016317
                     95,                 1.4821,                0.97156,                 1.3098,                0.33921,                0.35088,                0.26098,                0.09313,                 2.4676,                 2.2599,                  1.932,              0.0016278,              0.0016278,              0.0016278
                     96,                 1.5186,                 1.0185,                 1.2946,                0.25537,                0.35965,                0.19282,                0.06787,                 2.7275,                 2.3882,                  2.132,              0.0016238,              0.0016238,              0.0016238
                     97,                 1.5303,                0.97765,                 1.2886,                0.39343,                0.27193,                0.25298,                0.08682,                 2.6647,                 2.3623,                 2.1172,              0.0016198,              0.0016198,              0.0016198
                     98,                 1.4748,                0.97647,                 1.2676,                 0.3507,                0.22807,                0.22842,                0.08373,                 2.6267,                 2.5186,                  2.065,              0.0016159,              0.0016159,              0.0016159
                     99,                 1.7567,                 1.1143,                 1.5499,                0.35486,                0.22807,                0.18279,                0.06807,                 2.7141,                 2.8866,                 2.1285,              0.0016119,              0.0016119,              0.0016119
                    100,                 1.4886,                0.98707,                 1.2947,                0.41405,                0.26036,                0.21048,                0.07253,                 2.4956,                 2.5525,                 1.9082,               0.001608,               0.001608,               0.001608
                    101,                 1.4354,                0.96411,                 1.2911,                0.37647,                0.34211,                0.26528,                0.09697,                 2.4392,                 2.2259,                 1.8682,               0.001604,               0.001604,               0.001604
                    102,                 1.4453,                 1.0127,                 1.2372,                0.36206,                0.32456,                0.27105,                0.10712,                 2.3874,                 2.1529,                 1.8516,                 0.0016,                 0.0016,                 0.0016
                    103,                 1.4889,                 0.9263,                 1.2663,                0.28322,                 0.3778,                0.23585,                0.07397,                 2.7027,                 2.3742,                 2.1065,              0.0015961,              0.0015961,              0.0015961
                    104,                 1.4502,                0.95969,                 1.2507,                0.41972,                0.27193,                0.25576,                0.08747,                 2.5247,                 2.2807,                 2.0513,              0.0015921,              0.0015921,              0.0015921
                    105,                 1.3898,                 1.0198,                 1.2531,                0.43849,                0.31579,                0.26125,                  0.079,                 2.6258,                 2.4609,                 2.1286,              0.0015882,              0.0015882,              0.0015882
                    106,                 1.4279,                0.91332,                  1.246,                0.63076,                 0.2807,                0.32362,                0.12148,                 2.3927,                 2.1111,                 1.9321,              0.0015842,              0.0015842,              0.0015842
                    107,                 1.4595,                0.95398,                 1.2697,                0.54297,                0.26316,                0.26955,                0.09717,                 2.4845,                 2.2344,                 2.0184,              0.0015802,              0.0015802,              0.0015802
                    108,                 1.4607,                 1.0631,                 1.2937,                0.50201,                0.33333,                0.29218,                0.11736,                 2.4195,                 2.2404,                 1.9239,              0.0015763,              0.0015763,              0.0015763
                    109,                 1.4758,                0.98067,                 1.2678,                0.40315,                0.22807,                0.20246,                0.07969,                 2.6244,                 2.4685,                 2.0659,              0.0015723,              0.0015723,              0.0015723
                    110,                 1.3813,                0.89617,                 1.2633,                0.39957,                0.23684,                0.24175,                0.08828,                 2.6078,                 2.2512,                 2.0405,              0.0015684,              0.0015684,              0.0015684
                    111,                 1.4503,                0.96344,                 1.2421,                0.29222,                0.38596,                0.24875,                0.08779,                 2.5352,                 2.3013,                  1.946,              0.0015644,              0.0015644,              0.0015644
